City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,edinburgh of the seven seas,-37.0676,-12.3116,11.200000000000045,74,96,9.6,SH,1690964456
1,west island,-12.1568,96.8225,26.99000000000001,65,40,8.23,CC,1690964457
2,olinda,-8.0089,-34.8553,25.850000000000023,78,40,3.09,BR,1690964458
3,haiku-pauwela,20.9219,-156.3051,24.470000000000027,84,20,6.69,US,1690964458
4,baracoa,20.3467,-74.4958,26.840000000000032,89,95,1.53,CU,1690964459
5,tromso,69.6496,18.957,18.010000000000048,55,0,2.57,NO,1690964459
6,mil'kovo,55.6078,37.7956,24.730000000000018,66,26,3.37,RU,1690964460
7,jamestown,42.097,-79.2353,12.800000000000011,96,0,0.45,US,1690964461
8,waitangi,-43.9535,-176.5597,8.79000000000002,79,100,9.39,NZ,1690964461
9,selfoss,63.9331,-20.9971,13.360000000000014,76,14,2.05,IS,1690964462
10,fale old settlement,-9.3852,-171.2468,28.400000000000034,76,42,4.79,TK,1690964463
11,adamstown,-25.066,-130.1015,20.58000000000004,62,100,8.99,PN,1690964463
12,tsetserleg,47.475,101.4542,20.30000000000001,63,95,3.26,MN,1690964464
13,puerto ayora,-0.7393,-90.3518,24.189999999999998,93,94,1.79,EC,1690964465
14,kingaroy,-26.5333,151.8333,15.060000000000002,64,5,5.24,AU,1690964466
15,mossel bay,-34.1831,22.146,13.960000000000036,50,1,1.81,ZA,1690964466
16,stanley,54.868,-1.6985,13.620000000000005,92,75,3.6,GB,1690964467
17,puerto natales,-51.7236,-72.4875,2.090000000000032,75,100,11.57,CL,1690964467
18,longyearbyen,78.2186,15.6401,9.910000000000025,76,0,2.06,SJ,1690964468
19,chonchi,-42.6128,-73.8092,3.5600000000000023,90,70,1.89,CL,1690964469
20,zuera,41.8677,-0.7898,26.950000000000045,42,0,0.73,ES,1690964469
21,langepas,61.2544,75.2124,25.310000000000002,67,80,5.38,RU,1690964470
22,vorgashor,67.5833,63.95,24.670000000000016,52,2,3.33,RU,1690964471
23,tiksi,71.6872,128.8694,7.680000000000007,85,100,2.18,RU,1690964472
24,blackmans bay,-43.0167,147.3167,11.07000000000005,82,13,2.13,AU,1690964473
25,machado,-21.6747,-45.9197,12.120000000000005,78,0,0.32,BR,1690964473
26,bilibino,68.0546,166.4372,15.860000000000014,56,90,0.33,RU,1690964474
27,georgetown,5.4112,100.3354,32.960000000000036,69,20,3.6,MY,1690964475
28,griffith,41.5284,-87.4237,22.160000000000025,86,0,1.54,US,1690964475
29,grytviken,-54.2811,-36.5092,-1.3100000000000023,96,100,4.54,GS,1690964476
30,izki,22.9333,57.7667,39.83000000000004,23,10,2.61,OM,1690964477
31,ushuaia,-54.8,-68.3,-2.1899999999999977,80,75,5.66,AR,1690964477
32,bethel,41.3712,-73.414,15.520000000000039,85,0,1.54,US,1690964478
33,along,28.1667,94.7667,34.55000000000001,56,100,1.69,IN,1690964479
34,hamilton,39.1834,-84.5333,18.879999999999995,89,0,0.89,US,1690964369
35,fier,40.7239,19.5561,30.49000000000001,40,11,1.92,AL,1690964480
36,carnarvon,-24.8667,113.6333,17.57000000000005,85,100,10.12,AU,1690964480
37,albany,42.6001,-73.9662,12.120000000000005,88,0,0.89,US,1690964220
38,bredasdorp,-34.5322,20.0403,11.370000000000005,64,0,2.09,ZA,1690964482
39,doctor arroyo,23.6667,-100.1833,17.930000000000007,88,6,1.53,MX,1690964482
40,tazovsky,67.4667,78.7,22.640000000000043,55,0,7.74,RU,1690964483
41,hermanus,-34.4187,19.2345,12.110000000000014,59,0,3.64,ZA,1690964483
42,harrisburg,40.2737,-76.8844,16.170000000000016,88,0,2.24,US,1690964408
43,college,64.8569,-147.8028,18.28000000000003,72,75,1.54,US,1690964485
44,keflavik,64.0049,-22.5624,11.950000000000045,76,40,6.69,IS,1690964486
45,port-aux-francais,-49.35,70.2167,2.9399999999999977,74,89,16.11,TF,1690964487
46,arraial do cabo,-22.9661,-42.0278,19.920000000000016,81,0,7.75,BR,1690964487
